"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","207584.00 Number","Number","2014/2015_Q1","2014-04-01","2014-06-30","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","73746.00 Number","Number","2014/2015_Apr","2014-04-01","2014-04-30","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","778615.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","75121.00 Number","Number","2014/2015_May","2014-05-01","2014-05-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","58717.00 Number","Number","2014/2015_Jun","2014-06-01","2014-06-30","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","198186.00 Number","Number","2014/2015_Q2","2014-07-01","2014-09-30","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","67812.00 Number","Number","2014/2015_Jul","2014-07-01","2014-07-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","68830.00 Number","Number","2014/2015_Aug","2014-08-01","2014-08-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","61544.00 Number","Number","2014/2015_Sep","2014-09-01","2014-09-30","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","160759.00 Number","Number","2014/2015_Q3","2014-10-01","2014-12-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","60823.00 Number","Number","2014/2015_Oct","2014-10-01","2014-10-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","55451.00 Number","Number","2014/2015_Nov","2014-11-01","2014-11-30","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","44485.00 Number","Number","2014/2015_Dec","2014-12-01","2014-12-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","73770.00 Number","Number","2014/2015_Jan","2015-01-01","2015-01-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","212086.00 Number","Number","2014/2015_Q4","2015-01-01","2015-03-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","66349.00 Number","Number","2014/2015_Feb","2015-02-01","2015-02-28","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","71967.00 Number","Number","2014/2015_Mar","2015-03-01","2015-03-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","819179.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","65248.00 Number","Number","2015/2016_Apr","2015-04-01","2015-04-30","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","199832.00 Number","Number","2015/2016_Q1","2015-04-01","2015-06-30","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","68960.00 Number","Number","2015/2016_May","2015-05-01","2015-05-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","65624.00 Number","Number","2015/2016_Jun","2015-06-01","2015-06-30","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","221471.00 Number","Number","2015/2016_Q2","2015-07-01","2015-09-30","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","77734.00 Number","Number","2015/2016_Jul","2015-07-01","2015-07-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","74421.00 Number","Number","2015/2016_Aug","2015-08-01","2015-08-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","69316.00 Number","Number","2015/2016_Sep","2015-09-01","2015-09-30","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","193595.00 Number","Number","2015/2016_Q3","2015-10-01","2015-12-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","71752.00 Number","Number","2015/2016_Oct","2015-10-01","2015-10-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","65424.00 Number","Number","2015/2016_Nov","2015-11-01","2015-11-30","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","56419.00 Number","Number","2015/2016_Dec","2015-12-01","2015-12-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","66777.00 Number","Number","2015/2016_Jan","2016-01-01","2016-01-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","204281.00 Number","Number","2015/2016_Q4","2016-01-01","2016-03-31","Monthly"
"LIB02","Books Borrowed - All Libraries - (includes E-Library issues from 2023-24)","67961.00 Number","Number","2015/2016_Feb","2016-02-01","2016-02-29","Monthly"
