"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"LIB02-B","Books Borrowed - Bishopthorpe Library","7048.00 Number","Number","2014/2015_Q1","2014-04-01","2014-06-30","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2305.00 Number","Number","2014/2015_Apr","2014-04-01","2014-04-30","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","28166.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2407.00 Number","Number","2014/2015_May","2014-05-01","2014-05-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2336.00 Number","Number","2014/2015_Jun","2014-06-01","2014-06-30","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","7856.00 Number","Number","2014/2015_Q2","2014-07-01","2014-09-30","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2804.00 Number","Number","2014/2015_Jul","2014-07-01","2014-07-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2650.00 Number","Number","2014/2015_Aug","2014-08-01","2014-08-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2402.00 Number","Number","2014/2015_Sep","2014-09-01","2014-09-30","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","6693.00 Number","Number","2014/2015_Q3","2014-10-01","2014-12-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2536.00 Number","Number","2014/2015_Oct","2014-10-01","2014-10-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2363.00 Number","Number","2014/2015_Nov","2014-11-01","2014-11-30","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","1794.00 Number","Number","2014/2015_Dec","2014-12-01","2014-12-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2418.00 Number","Number","2014/2015_Jan","2015-01-01","2015-01-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","6569.00 Number","Number","2014/2015_Q4","2015-01-01","2015-03-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","1948.00 Number","Number","2014/2015_Feb","2015-02-01","2015-02-28","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2203.00 Number","Number","2014/2015_Mar","2015-03-01","2015-03-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","27326.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","1975.00 Number","Number","2015/2016_Apr","2015-04-01","2015-04-30","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","6442.00 Number","Number","2015/2016_Q1","2015-04-01","2015-06-30","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2267.00 Number","Number","2015/2016_May","2015-05-01","2015-05-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2200.00 Number","Number","2015/2016_Jun","2015-06-01","2015-06-30","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","7695.00 Number","Number","2015/2016_Q2","2015-07-01","2015-09-30","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2616.00 Number","Number","2015/2016_Jul","2015-07-01","2015-07-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2740.00 Number","Number","2015/2016_Aug","2015-08-01","2015-08-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2339.00 Number","Number","2015/2016_Sep","2015-09-01","2015-09-30","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","6271.00 Number","Number","2015/2016_Q3","2015-10-01","2015-12-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2326.00 Number","Number","2015/2016_Oct","2015-10-01","2015-10-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2117.00 Number","Number","2015/2016_Nov","2015-11-01","2015-11-30","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","1828.00 Number","Number","2015/2016_Dec","2015-12-01","2015-12-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2240.00 Number","Number","2015/2016_Jan","2016-01-01","2016-01-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","6918.00 Number","Number","2015/2016_Q4","2016-01-01","2016-03-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2406.00 Number","Number","2015/2016_Feb","2016-02-01","2016-02-29","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2272.00 Number","Number","2015/2016_Mar","2016-03-01","2016-03-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","27025.00 Number","Number","2016/2017","2016-04-01","2017-03-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","6311.00 Number","Number","2016/2017_Q1","2016-04-01","2016-06-30","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2235.00 Number","Number","2016/2017_Apr","2016-04-01","2016-04-30","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2010.00 Number","Number","2016/2017_May","2016-05-01","2016-05-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2066.00 Number","Number","2016/2017_Jun","2016-06-01","2016-06-30","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","7140.00 Number","Number","2016/2017_Q2","2016-07-01","2016-09-30","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2426.00 Number","Number","2016/2017_Jul","2016-07-01","2016-07-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2405.00 Number","Number","2016/2017_Aug","2016-08-01","2016-08-31","Monthly"
"LIB02-B","Books Borrowed - Bishopthorpe Library","2309.00 Number","Number","2016/2017_Sep","2016-09-01","2016-09-30","Monthly"
