"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"LIB02-D","Books Borrowed - Copmanthorpe Library","10690.00 Number","Number","2014/2015_Q1","2014-04-01","2014-06-30","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","3147.00 Number","Number","2014/2015_Apr","2014-04-01","2014-04-30","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","45955.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","3343.00 Number","Number","2014/2015_May","2014-05-01","2014-05-31","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","4200.00 Number","Number","2014/2015_Jun","2014-06-01","2014-06-30","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","13821.00 Number","Number","2014/2015_Q2","2014-07-01","2014-09-30","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","4714.00 Number","Number","2014/2015_Jul","2014-07-01","2014-07-31","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","4971.00 Number","Number","2014/2015_Aug","2014-08-01","2014-08-31","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","4136.00 Number","Number","2014/2015_Sep","2014-09-01","2014-09-30","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","11251.00 Number","Number","2014/2015_Q3","2014-10-01","2014-12-31","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","4450.00 Number","Number","2014/2015_Oct","2014-10-01","2014-10-31","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","3768.00 Number","Number","2014/2015_Nov","2014-11-01","2014-11-30","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","3033.00 Number","Number","2014/2015_Dec","2014-12-01","2014-12-31","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","3594.00 Number","Number","2014/2015_Jan","2015-01-01","2015-01-31","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","10193.00 Number","Number","2014/2015_Q4","2015-01-01","2015-03-31","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","3214.00 Number","Number","2014/2015_Feb","2015-02-01","2015-02-28","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","3385.00 Number","Number","2014/2015_Mar","2015-03-01","2015-03-31","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","27407.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","2065.00 Number","Number","2015/2016_Apr","2015-04-01","2015-04-30","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","6680.00 Number","Number","2015/2016_Q1","2015-04-01","2015-06-30","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","2425.00 Number","Number","2015/2016_May","2015-05-01","2015-05-31","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","2190.00 Number","Number","2015/2016_Jun","2015-06-01","2015-06-30","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","7653.00 Number","Number","2015/2016_Q2","2015-07-01","2015-09-30","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","2832.00 Number","Number","2015/2016_Jul","2015-07-01","2015-07-31","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","2572.00 Number","Number","2015/2016_Aug","2015-08-01","2015-08-31","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","2249.00 Number","Number","2015/2016_Sep","2015-09-01","2015-09-30","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","6569.00 Number","Number","2015/2016_Q3","2015-10-01","2015-12-31","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","2519.00 Number","Number","2015/2016_Oct","2015-10-01","2015-10-31","Monthly"
"LIB02-D","Books Borrowed - Copmanthorpe Library","2331.00 Number","Number","2015/2016_Nov","2015-11-01","2015-11-30","Monthly"
