"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"LIB02-N","Books Borrowed - Strensall Library","6374.00 Number","Number","2014/2015_Q1","2014-04-01","2014-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1971.00 Number","Number","2014/2015_Apr","2014-04-01","2014-04-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","27860.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2118.00 Number","Number","2014/2015_May","2014-05-01","2014-05-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2285.00 Number","Number","2014/2015_Jun","2014-06-01","2014-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","7343.00 Number","Number","2014/2015_Q2","2014-07-01","2014-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2600.00 Number","Number","2014/2015_Jul","2014-07-01","2014-07-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2391.00 Number","Number","2014/2015_Aug","2014-08-01","2014-08-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2352.00 Number","Number","2014/2015_Sep","2014-09-01","2014-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","6331.00 Number","Number","2014/2015_Q3","2014-10-01","2014-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2322.00 Number","Number","2014/2015_Oct","2014-10-01","2014-10-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2122.00 Number","Number","2014/2015_Nov","2014-11-01","2014-11-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1887.00 Number","Number","2014/2015_Dec","2014-12-01","2014-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2799.00 Number","Number","2014/2015_Jan","2015-01-01","2015-01-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","7812.00 Number","Number","2014/2015_Q4","2015-01-01","2015-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2539.00 Number","Number","2014/2015_Feb","2015-02-01","2015-02-28","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2474.00 Number","Number","2014/2015_Mar","2015-03-01","2015-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","30131.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2684.00 Number","Number","2015/2016_Apr","2015-04-01","2015-04-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","8041.00 Number","Number","2015/2016_Q1","2015-04-01","2015-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2655.00 Number","Number","2015/2016_May","2015-05-01","2015-05-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2702.00 Number","Number","2015/2016_Jun","2015-06-01","2015-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","8240.00 Number","Number","2015/2016_Q2","2015-07-01","2015-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2752.00 Number","Number","2015/2016_Jul","2015-07-01","2015-07-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2852.00 Number","Number","2015/2016_Aug","2015-08-01","2015-08-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2636.00 Number","Number","2015/2016_Sep","2015-09-01","2015-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","7579.00 Number","Number","2015/2016_Q3","2015-10-01","2015-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","3025.00 Number","Number","2015/2016_Oct","2015-10-01","2015-10-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2692.00 Number","Number","2015/2016_Nov","2015-11-01","2015-11-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1862.00 Number","Number","2015/2016_Dec","2015-12-01","2015-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2156.00 Number","Number","2015/2016_Jan","2016-01-01","2016-01-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","6271.00 Number","Number","2015/2016_Q4","2016-01-01","2016-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1810.00 Number","Number","2015/2016_Feb","2016-02-01","2016-02-29","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2305.00 Number","Number","2015/2016_Mar","2016-03-01","2016-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","22468.00 Number","Number","2016/2017","2016-04-01","2017-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","5914.00 Number","Number","2016/2017_Q1","2016-04-01","2016-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2450.00 Number","Number","2016/2017_Apr","2016-04-01","2016-04-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1838.00 Number","Number","2016/2017_May","2016-05-01","2016-05-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1626.00 Number","Number","2016/2017_Jun","2016-06-01","2016-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","5839.00 Number","Number","2016/2017_Q2","2016-07-01","2016-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1704.00 Number","Number","2016/2017_Jul","2016-07-01","2016-07-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2206.00 Number","Number","2016/2017_Aug","2016-08-01","2016-08-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1929.00 Number","Number","2016/2017_Sep","2016-09-01","2016-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","5620.00 Number","Number","2016/2017_Q3","2016-10-01","2016-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2040.00 Number","Number","2016/2017_Oct","2016-10-01","2016-10-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1920.00 Number","Number","2016/2017_Nov","2016-11-01","2016-11-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1660.00 Number","Number","2016/2017_Dec","2016-12-01","2016-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1772.00 Number","Number","2016/2017_Jan","2017-01-01","2017-01-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","5095.00 Number","Number","2016/2017_Q4","2017-01-01","2017-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1571.00 Number","Number","2016/2017_Feb","2017-02-01","2017-02-28","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1752.00 Number","Number","2016/2017_Mar","2017-03-01","2017-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1466.00 Number","Number","2017/2018_Apr","2017-04-01","2017-04-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","4255.00 Number","Number","2017/2018_Q1","2017-04-01","2017-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","18666.00 Number","Number","2017/2018","2017-04-01","2018-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1420.00 Number","Number","2017/2018_May","2017-05-01","2017-05-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1369.00 Number","Number","2017/2018_Jun","2017-06-01","2017-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","5370.00 Number","Number","2017/2018_Q2","2017-07-01","2017-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1738.00 Number","Number","2017/2018_Jul","2017-07-01","2017-07-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2058.00 Number","Number","2017/2018_Aug","2017-08-01","2017-08-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1574.00 Number","Number","2017/2018_Sep","2017-09-01","2017-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1692.00 Number","Number","2017/2018_Oct","2017-10-01","2017-10-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","4159.00 Number","Number","2017/2018_Q3","2017-10-01","2017-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1383.00 Number","Number","2017/2018_Nov","2017-11-01","2017-11-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1084.00 Number","Number","2017/2018_Dec","2017-12-01","2017-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","4882.00 Number","Number","2017/2018_Q4","2018-01-01","2018-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1696.00 Number","Number","2017/2018_Jan","2018-01-01","2018-01-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1639.00 Number","Number","2017/2018_Feb","2018-02-01","2018-02-28","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1547.00 Number","Number","2017/2018_Mar","2018-03-01","2018-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","4410.00 Number","Number","2018/2019_Q1","2018-04-01","2018-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","16959.00 Number","Number","2018/2019","2018-04-01","2019-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1525.00 Number","Number","2018/2019_Apr","2018-04-01","2018-04-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1465.00 Number","Number","2018/2019_May","2018-05-01","2018-05-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1420.00 Number","Number","2018/2019_Jun","2018-06-01","2018-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","4600.00 Number","Number","2018/2019_Q2","2018-07-01","2018-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1562.00 Number","Number","2018/2019_Jul","2018-07-01","2018-07-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1613.00 Number","Number","2018/2019_Aug","2018-08-01","2018-08-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1425.00 Number","Number","2018/2019_Sep","2018-09-01","2018-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1341.00 Number","Number","2018/2019_Oct","2018-10-01","2018-10-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","3757.00 Number","Number","2018/2019_Q3","2018-10-01","2018-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1466.00 Number","Number","2018/2019_Nov","2018-11-01","2018-11-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","950.00 Number","Number","2018/2019_Dec","2018-12-01","2018-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","4192.00 Number","Number","2018/2019_Q4","2019-01-01","2019-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1451.00 Number","Number","2018/2019_Jan","2019-01-01","2019-01-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1181.00 Number","Number","2018/2019_Feb","2019-02-01","2019-02-28","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1560.00 Number","Number","2018/2019_Mar","2019-03-01","2019-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","4233.00 Number","Number","2019/2020_Q1","2019-04-01","2019-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","17707.00 Number","Number","2019/2020","2019-04-01","2020-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1514.00 Number","Number","2019/2020_Apr","2019-04-01","2019-04-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1417.00 Number","Number","2019/2020_May","2019-05-01","2019-05-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1302.00 Number","Number","2019/2020_Jun","2019-06-01","2019-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","4908.00 Number","Number","2019/2020_Q2","2019-07-01","2019-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1655.00 Number","Number","2019/2020_Jul","2019-07-01","2019-07-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1723.00 Number","Number","2019/2020_Aug","2019-08-01","2019-08-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1530.00 Number","Number","2019/2020_Sep","2019-09-01","2019-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","3893.00 Number","Number","2019/2020_Q3","2019-10-01","2019-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1461.00 Number","Number","2019/2020_Oct","2019-10-01","2019-10-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1372.00 Number","Number","2019/2020_Nov","2019-11-01","2019-11-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1060.00 Number","Number","2019/2020_Dec","2019-12-01","2019-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","4673.00 Number","Number","2019/2020_Q4","2020-01-01","2020-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1705.00 Number","Number","2019/2020_Jan","2020-01-01","2020-01-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1609.00 Number","Number","2019/2020_Feb","2020-02-01","2020-02-29","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1359.00 Number","Number","2019/2020_Mar","2020-03-01","2020-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","0.00 Number","Number","2020/2021_Apr","2020-04-01","2020-04-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","0.00 Number","Number","2020/2021_Q1","2020-04-01","2020-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","3457.00 Number","Number","2020/2021","2020-04-01","2021-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","0.00 Number","Number","2020/2021_May","2020-05-01","2020-05-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","0.00 Number","Number","2020/2021_Jun","2020-06-01","2020-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","816.00 Number","Number","2020/2021_Q2","2020-07-01","2020-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","0.00 Number","Number","2020/2021_Jul","2020-07-01","2020-07-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2.00 Number","Number","2020/2021_Aug","2020-08-01","2020-08-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","814.00 Number","Number","2020/2021_Sep","2020-09-01","2020-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2536.00 Number","Number","2020/2021_Q3","2020-10-01","2020-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1392.00 Number","Number","2020/2021_Oct","2020-10-01","2020-10-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","393.00 Number","Number","2020/2021_Nov","2020-11-01","2020-11-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","751.00 Number","Number","2020/2021_Dec","2020-12-01","2020-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","105.00 Number","Number","2020/2021_Q4","2021-01-01","2021-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","105.00 Number","Number","2020/2021_Jan","2021-01-01","2021-01-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","0.00 Number","Number","2020/2021_Feb","2021-02-01","2021-02-28","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","0.00 Number","Number","2020/2021_Mar","2021-03-01","2021-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","798.00 Number","Number","2021/2022_Apr","2021-04-01","2021-04-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","14994.00 Number","Number","2021/2022","2021-04-01","2022-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","3326.00 Number","Number","2021/2022_Q1","2021-04-01","2021-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1284.00 Number","Number","2021/2022_May","2021-05-01","2021-05-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1244.00 Number","Number","2021/2022_Jun","2021-06-01","2021-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","4179.00 Number","Number","2021/2022_Q2","2021-07-01","2021-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1437.00 Number","Number","2021/2022_Jul","2021-07-01","2021-07-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1396.00 Number","Number","2021/2022_Aug","2021-08-01","2021-08-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1346.00 Number","Number","2021/2022_Sep","2021-09-01","2021-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1178.00 Number","Number","2021/2022_Oct","2021-10-01","2021-10-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","3422.00 Number","Number","2021/2022_Q3","2021-10-01","2021-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1302.00 Number","Number","2021/2022_Nov","2021-11-01","2021-11-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","942.00 Number","Number","2021/2022_Dec","2021-12-01","2021-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","4067.00 Number","Number","2021/2022_Q4","2022-01-01","2022-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1344.00 Number","Number","2021/2022_Jan","2022-01-01","2022-01-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1250.00 Number","Number","2021/2022_Feb","2022-02-01","2022-02-28","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1473.00 Number","Number","2021/2022_Mar","2022-03-01","2022-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1292.00 Number","Number","2022/2023_Apr","2022-04-01","2022-04-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","15669.00 Number","Number","2022/2023","2022-04-01","2023-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","3880.00 Number","Number","2022/2023_Q1","2022-04-01","2022-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1324.00 Number","Number","2022/2023_May","2022-05-01","2022-05-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1264.00 Number","Number","2022/2023_Jun","2022-06-01","2022-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1243.00 Number","Number","2022/2023_Jul","2022-07-01","2022-07-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","4133.00 Number","Number","2022/2023_Q2","2022-07-01","2022-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1450.00 Number","Number","2022/2023_Aug","2022-08-01","2022-08-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1440.00 Number","Number","2022/2023_Sep","2022-09-01","2022-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","3701.00 Number","Number","2022/2023_Q3","2022-10-01","2022-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1444.00 Number","Number","2022/2023_Oct","2022-10-01","2022-10-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1265.00 Number","Number","2022/2023_Nov","2022-11-01","2022-11-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","992.00 Number","Number","2022/2023_Dec","2022-12-01","2022-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","3955.00 Number","Number","2022/2023_Q4","2023-01-01","2023-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1374.00 Number","Number","2022/2023_Jan","2023-01-01","2023-01-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1277.00 Number","Number","2022/2023_Feb","2023-02-01","2023-02-28","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1304.00 Number","Number","2022/2023_Mar","2023-03-01","2023-03-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1196.00 Number","Number","2023/2024_Apr","2023-04-01","2023-04-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","3224.00 Number","Number","2023/2024_Q1","2023-04-01","2023-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1113.00 Number","Number","2023/2024_May","2023-05-01","2023-05-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","915.00 Number","Number","2023/2024_Jun","2023-06-01","2023-06-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1190.00 Number","Number","2023/2024_Jul","2023-07-01","2023-07-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","3780.00 Number","Number","2023/2024_Q2","2023-07-01","2023-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1399.00 Number","Number","2023/2024_Aug","2023-08-01","2023-08-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1191.00 Number","Number","2023/2024_Sep","2023-09-01","2023-09-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","1214.00 Number","Number","2023/2024_Oct","2023-10-01","2023-10-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","2925.00 Number","Number","2023/2024_Q3","2023-10-01","2023-12-31","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","994.00 Number","Number","2023/2024_Nov","2023-11-01","2023-11-30","Monthly"
"LIB02-N","Books Borrowed - Strensall Library","717.00 Number","Number","2023/2024_Dec","2023-12-01","2023-12-31","Monthly"
