Local Authority,Library,Month,Type,Loans
Cambridgeshire,Arbury Court Library,2019-12,Adult fiction,1
Cambridgeshire,Arbury Court Library,2019-12,Adult fiction hardback,35
Cambridgeshire,Arbury Court Library,2019-12,Adult fiction large print hardback,10
Cambridgeshire,Arbury Court Library,2019-12,Adult fiction large print paperback,7
Cambridgeshire,Arbury Court Library,2019-12,Adult fiction paperback,75
Cambridgeshire,Arbury Court Library,2019-12,Adult non fiction hardback,15
Cambridgeshire,Arbury Court Library,2019-12,Adult non fiction large print hardback,1
Cambridgeshire,Arbury Court Library,2019-12,Adult non fiction paperback,34
Cambridgeshire,Arbury Court Library,2019-12,Children's fiction,8
Cambridgeshire,Arbury Court Library,2019-12,Children's spoken word CD set,2
Cambridgeshire,Arbury Court Library,2019-12,DVD: 12,2
Cambridgeshire,Arbury Court Library,2019-12,DVD: PG,1
Cambridgeshire,Arbury Court Library,2019-12,DVD: U,2
Cambridgeshire,Arbury Court Library,2019-12,Junior fiction,313
Cambridgeshire,Arbury Court Library,2019-12,Junior large print,1
Cambridgeshire,Arbury Court Library,2019-12,Junior non-fiction,30
Cambridgeshire,Arbury Court Library,2019-12,Picture Book,1
Cambridgeshire,Arbury Court Library,2019-12,Teenage,2
Cambridgeshire,Arbury Court Library,2019-12,Young adult,5
Cambridgeshire,Arbury Court Library,2019-12,Young adult fiction paperback,1
Cambridgeshire,Arbury Court Library,2019-12,Young adult plus,1
Cambridgeshire,Arbury Court Library,2020-01,Adult fiction,5
Cambridgeshire,Arbury Court Library,2020-01,Adult fiction hardback,46
Cambridgeshire,Arbury Court Library,2020-01,Adult fiction large print hardback,5
Cambridgeshire,Arbury Court Library,2020-01,Adult fiction large print paperback,9
Cambridgeshire,Arbury Court Library,2020-01,Adult fiction paperback,94
Cambridgeshire,Arbury Court Library,2020-01,Adult non fiction hardback,12
Cambridgeshire,Arbury Court Library,2020-01,Adult non fiction paperback,31
Cambridgeshire,Arbury Court Library,2020-01,Adult non-fiction,3
Cambridgeshire,Arbury Court Library,2020-01,Adult spoken word CD set,6
Cambridgeshire,Arbury Court Library,2020-01,Children's fiction,15
Cambridgeshire,Arbury Court Library,2020-01,Children's non-fiction,4
Cambridgeshire,Arbury Court Library,2020-01,Children's spoken word CD set,9
Cambridgeshire,Arbury Court Library,2020-01,DVD: 12,2
Cambridgeshire,Arbury Court Library,2020-01,DVD: PG,1
Cambridgeshire,Arbury Court Library,2020-01,DVD: U,1
