Local Authority,Library,Count Start,Count End,Count Type,visits
Cambridgeshire,Arbury Court,2018-Apr,2019 Dec,Manual/electric,"53,373"
Cambridgeshire,Bar Hill,2018-Apr,2019 Dec,Manual/electric,"30,856"
Cambridgeshire,Barnwell Road,2018-Apr,2019 Dec,Manual/electric,"44,601"
Cambridgeshire,Buckden,2018-Apr,2019 Dec,Manual/electric,"13,653"
Cambridgeshire,Burwell,2018-Apr,2019 Dec,Manual/electric,"62,600"
Cambridgeshire,Cambourne,2018-Apr,2019 Dec,Manual/electric,"75,581"
Cambridgeshire,Cambridge Central,2018-Apr,2019 Dec,Thermal Imaging,"943,703"
Cambridgeshire,Chatteris,2018-Apr,2019 Dec,Manual/electric,"73,654"
Cambridgeshire,Cherry Hinton,2018-Apr,2019 Dec,Manual/electric,"97,253"
Cambridgeshire,Clay Farm,2018-Apr,2019 Dec,Manual/electric,"51,855"
Cambridgeshire,Comberton,2018-Apr,2019 Dec,Manual/electric,"12,323"
Cambridgeshire,Cottenham,2018-Apr,2019 Dec,Manual/electric,"21,877"
Cambridgeshire,Ely,2018-Apr,2019 Dec,Electronic Counter,"266,925"
Cambridgeshire,Great Shelford,2018-Apr,2019 Dec,Manual/electric,"65,672"
Cambridgeshire,Histon,2018-Apr,2019 Dec,Manual/electric,"68,159"
Cambridgeshire,Huntingdon,2018-Apr,2019 Dec,Electronic Counter,"321,310"
Cambridgeshire,Linton,2018-Apr,2019 Dec,Manual/electric,"32,878"
Cambridgeshire,Littleport,2018-Apr,2019 Dec,Manual/electric,"31,413"
Cambridgeshire,March,2018-Apr,2019 Dec,Electronic Counter,"144,935"
Cambridgeshire,Milton Road,2018-Apr,2019 Dec,Manual/electric,"19,169"
Cambridgeshire,CMOB,2018-Apr,2019 Dec,Manual/electric,"10,545"
Cambridgeshire,HMOB,2018-Apr,2019 Dec,Manual/electric,"9,351"
Cambridgeshire,MMOB,2018-Apr,2019 Dec,Manual/electric,"9,378"
Cambridgeshire,Mobile Libraries,2018-Apr,2019 Dec,Manual/electric,"29,360"
Cambridgeshire,Papworth,2018-Apr,2019 Dec,Manual/electric,"12,923"
Cambridgeshire,Ramsey,2018-Apr,2019 Dec,Manual/electric,"62,566"
Cambridgeshire,Rock Road,2018-Apr,2019 Dec,Manual/electric,"60,391"
Cambridgeshire,Sawston,2018-Apr,2019 Dec,Manual/electric,"35,861"
Cambridgeshire,Sawtry,2018-Apr,2019 Dec,Manual/electric,"14,754"
Cambridgeshire,Soham,2018-Apr,2019 Dec,Manual/electric,"67,036"
Cambridgeshire,St Ives,2018-Apr,2019 Dec,Electronic Counter,"190,994"
Cambridgeshire,St Neots,2018-Apr,2019 Dec,Electronic Counter,"179,022"
Cambridgeshire,Warboys,2018-Apr,2019 Dec,Manual/electric,"15,194"
Cambridgeshire,Whittlesey,2018-Apr,2019 Dec,Manual/electric,"73,710"
Cambridgeshire,Willingham,2018-Apr,2019 Dec,Manual/electric,"26,091"
Cambridgeshire,Wisbech,2018-Apr,2019 Dec,Electronic Counter,"154,600"
Cambridgeshire,Yaxley,2018-Apr,2019 Dec,Manual/electric,"33,123"
