Month,Location ,0 > 4,05 > 09,10 > 15,16 > 19,20 > 24,25 > 34,35 > 44,45 > 54,55 > 64,65 > 74,75>,Not known
Jan-17,Ardsley and Tingley Library,0,0,2,0,2,4,9,20,34,17,0,7
Jan-17,Armley Library,0,29,96,44,92,518,550,523,380,190,21,173
Jan-17,Beeston Library,0,5,44,15,74,246,300,260,133,77,10,34
Jan-17,Boston Spa Library,0,0,5,1,3,1,6,16,18,14,1,0
Jan-17,Bramley Library,1,10,34,13,94,192,154,320,325,128,19,76
Jan-17,Calverley Library,0,0,3,0,9,25,2,16,29,7,8,2
Jan-17,Central Library,2,24,84,65,484,"1,854","1,969","2,052","1,453",725,118,806
Jan-17,Chapel Allerton Library,0,9,15,2,20,117,113,201,215,111,11,46
Jan-17,Chapeltown Library,0,16,75,11,103,218,214,361,207,21,11,74
Jan-17,Compton Road Library,2,69,290,179,451,"1,006",977,939,455,39,30,204
Jan-17,Crossgates Library,1,5,7,5,86,209,168,229,351,174,66,55
Jan-17,Dewsbury Road Library,0,2,6,1,41,115,159,96,64,25,0,31
Jan-17,Farsley Library,0,0,0,0,8,20,18,12,53,24,8,11
Jan-17,Garforth Library,0,5,111,16,49,72,72,157,154,163,71,125
Jan-17,Gildersome Library,0,0,8,0,0,1,1,28,5,1,8,6
Jan-17,Guiseley Library,0,0,14,0,9,50,112,65,115,110,34,10
Jan-17,Halton Library,0,22,61,1,20,98,60,154,135,85,26,56
Jan-17,Headingley Library,0,17,42,36,166,518,382,392,495,248,69,123
Jan-17,Holt Park Library,0,13,83,18,17,143,148,90,135,149,39,43
Jan-17,Horsforth Library,0,3,20,11,35,151,193,235,246,263,69,123
Jan-17,Hunslet Library,0,0,15,0,12,56,59,103,70,56,0,81
Jan-17,Kippax Library,0,1,25,6,11,29,19,116,46,45,2,14
Jan-17,Middleton Library,0,6,36,13,32,162,138,144,144,49,7,71
Jan-17,Moor Allerton Library,0,8,70,43,75,150,268,471,461,256,90,122
Jan-17,Morley Library,1,1,20,25,87,217,242,338,374,243,83,141
Jan-17,Oakwood Library,0,2,6,19,22,45,56,89,175,93,55,25
Jan-17,Otley Library,0,0,12,15,41,118,155,260,308,493,221,30
Jan-17,Pudsey Library,3,4,35,22,104,180,396,318,415,249,77,126
Jan-17,Rothwell Library,1,10,22,44,30,116,79,177,190,174,63,58
Jan-17,Seacroft,0,2,11,16,65,141,273,325,255,105,23,107
Jan-17,Wetherby,0,0,9,1,40,73,71,61,124,149,82,43
Jan-17,Whinmoor,0,0,3,3,0,2,3,18,15,6,0,0
Jan-17,Yeadon,0,0,11,5,46,65,148,148,98,192,51,31
Feb-17,Ardsley and Tingley Library,0,0,0,0,0,8,13,7,36,24,0,8
Feb-17,Armley Library,0,48,103,30,98,546,487,519,331,163,13,139
Feb-17,Beeston Library,0,12,60,18,70,222,214,211,120,71,11,31
Feb-17,Boston Spa Library,0,0,2,2,0,0,4,22,21,15,6,5
Feb-17,Bramley Library,0,7,13,5,105,192,192,278,349,131,21,87
Feb-17,Calverley Library,0,1,5,0,4,28,1,23,27,10,7,0
Feb-17,Central Library,1,21,118,83,363,"1,959","1,984","2,009","1,355",739,102,678
Feb-17,Chapel Allerton Library,1,14,21,4,19,84,106,167,174,113,21,33
Feb-17,Chapeltown Library,0,23,91,27,83,177,183,385,176,14,8,84
Feb-17,Compton Road Library,2,85,363,83,398,775,892,892,368,53,19,314
Feb-17,Crossgates Library,1,14,40,17,57,146,186,258,356,178,62,56
Feb-17,Dewsbury Road Library,1,6,12,12,33,133,153,98,55,19,0,3
Feb-17,Farsley Library,0,0,5,5,13,11,17,27,57,25,11,9
Feb-17,Garforth Library,0,9,74,13,32,68,122,137,86,111,60,142
Feb-17,Gildersome Library,0,0,7,0,3,1,1,30,6,3,8,0
Feb-17,Guiseley Library,0,0,11,1,8,61,75,69,101,81,31,16
Feb-17,Halton Library,0,21,62,6,21,125,63,152,119,96,40,46
Feb-17,Headingley Library,0,16,52,46,149,419,388,370,482,240,58,123
Feb-17,Holt Park Library,2,16,127,17,18,134,147,108,102,141,50,57
Feb-17,Horsforth Library,0,11,15,8,58,107,188,234,240,248,84,108
Feb-17,Hunslet Library,0,0,11,2,8,64,50,130,49,47,0,25
Feb-17,Kippax Library,0,3,12,5,6,22,29,94,42,55,8,11
Feb-17,Middleton Library,0,5,88,9,10,146,131,154,136,46,7,60
Feb-17,Moor Allerton Library,0,21,64,35,63,136,242,409,491,261,91,80
Feb-17,Morley Library,1,1,33,13,83,184,230,321,364,241,113,105
Feb-17,Oakwood Library,0,0,8,12,26,30,41,94,172,92,47,29
Feb-17,Otley Library,0,2,16,17,29,89,129,277,293,526,233,38
Feb-17,Pudsey Library,0,6,21,18,87,186,327,284,458,178,81,104
Feb-17,Rothwell Library,2,8,36,44,31,96,71,113,164,165,68,89
Feb-17,Seacroft,0,7,24,12,44,150,202,281,233,102,13,110
Feb-17,Wetherby,0,0,7,10,15,69,94,76,121,90,70,30
Feb-17,Whinmoor,0,4,8,0,0,8,4,12,15,1,0,0
Feb-17,Yeadon,0,3,21,10,25,73,116,95,100,177,38,47
Mar-17,Ardsley and Tingley Library,0,1,0,0,0,8,7,10,40,21,0,15
Mar-17,Armley Library,0,32,95,23,90,610,553,523,402,203,17,170
Mar-17,Beeston Library,0,9,23,11,60,236,242,258,142,73,11,33
Mar-17,Boston Spa Library,0,0,3,0,0,1,3,14,16,13,1,1
Mar-17,Bramley Library,0,12,16,5,86,238,190,295,410,121,7,98
Mar-17,Calverley Library,0,1,8,0,8,26,2,23,36,14,7,1
Mar-17,Central Library,4,14,104,94,473,"1,864","1,971","2,183","1,425",702,106,831
Mar-17,Chapel Allerton Library,0,4,13,2,29,114,112,152,167,127,12,29
Mar-17,Chapeltown Library,0,33,78,31,57,191,240,418,260,29,21,124
Mar-17,Compton Road Library,0,98,175,124,402,819,"1,034",900,498,50,31,118
Mar-17,Crossgates Library,0,6,49,12,104,225,269,322,410,220,86,55
Mar-17,Dewsbury Road Library,0,2,8,3,27,99,124,118,42,26,0,5
Mar-17,Farsley Library,0,0,0,1,20,25,27,21,78,25,12,13
Mar-17,Garforth Library,0,7,86,29,34,70,105,170,127,152,63,120
Mar-17,Gildersome Library,0,0,10,0,13,1,1,26,6,4,14,0
Mar-17,Guiseley Library,0,1,6,4,13,69,66,71,121,85,36,19
Mar-17,Halton Library,0,23,46,2,20,116,81,153,125,111,36,47
Mar-17,Headingley Library,1,16,52,22,160,514,429,427,531,285,62,139
Mar-17,Holt Park Library,0,5,135,33,18,165,161,153,127,159,39,51
Mar-17,Horsforth Library,0,6,23,15,24,143,195,275,190,264,85,160
Mar-17,Hunslet Library,0,1,9,0,6,73,68,152,59,83,1,28
Mar-17,Kippax Library,0,2,14,0,7,18,22,77,20,65,2,15
Mar-17,Middleton Library,0,3,35,6,18,161,146,207,149,58,7,97
Mar-17,Moor Allerton Library,0,10,68,27,77,185,255,426,617,272,107,71
Mar-17,Morley Library,0,1,33,10,73,209,282,416,447,249,117,120
Mar-17,Oakwood Library,0,1,4,3,36,64,66,111,240,100,36,47
Mar-17,Otley Library,0,1,15,20,19,69,162,354,343,605,244,67
Mar-17,Pudsey Library,0,8,31,17,138,221,307,308,525,207,83,105
Mar-17,Rothwell Library,0,4,41,27,69,118,104,176,200,161,74,70
Mar-17,Seacroft,0,0,10,12,69,138,285,366,311,114,23,133
Mar-17,Wetherby,0,0,15,4,23,86,93,85,145,72,78,45
Mar-17,Whinmoor,0,2,3,0,0,10,5,13,12,4,2,1
Mar-17,Yeadon,0,5,6,3,25,76,136,117,118,190,41,45
Apr-17,Ardsley and Tingley Library,0,1,0,1,1,2,4,22,37,16,3,9
Apr-17,Armley Library,0,21,71,38,82,404,461,481,330,170,20,179
Apr-17,Beeston Library,0,34,52,32,47,147,201,248,128,49,9,44
Apr-17,Boston Spa Library,0,0,0,0,1,0,3,7,14,12,3,5
Apr-17,Bramley Library,2,7,11,35,36,123,136,274,380,107,25,73
Apr-17,Calverley Library,0,0,5,0,3,23,5,5,20,2,6,3
Apr-17,Central Library,2,16,80,72,455,"1,696","1,802","2,270","1,265",684,100,694
Apr-17,Chapel Allerton Library,0,9,11,15,30,103,73,104,163,89,24,43
Apr-17,Chapeltown Library,0,28,121,39,45,115,224,329,232,30,6,104
Apr-17,Compton Road Library,1,104,255,148,283,669,769,686,470,31,22,93
Apr-17,Crossgates Library,0,13,35,20,80,195,210,269,322,155,57,47
Apr-17,Dewsbury Road Library,0,0,0,0,1,0,0,0,0,0,0,0
Apr-17,Farsley Library,0,1,3,2,4,19,9,22,48,30,10,14
Apr-17,Garforth Library,0,13,36,18,28,43,82,123,110,124,61,108
Apr-17,Gildersome Library,0,0,0,0,7,0,3,22,2,4,12,4
Apr-17,Guiseley Library,0,0,4,3,6,28,40,58,92,56,35,15
Apr-17,Halton Library,0,17,35,17,38,85,104,92,144,99,40,50
Apr-17,Headingley Library,1,12,38,41,138,399,316,442,487,219,64,138
Apr-17,Holt Park Library,0,5,49,31,33,171,102,161,112,145,47,32
Apr-17,Horsforth Library,0,7,20,15,31,113,140,236,198,257,93,108
Apr-17,Hunslet Library,0,0,8,7,12,72,40,85,56,48,2,32
Apr-17,Kippax Library,0,4,24,4,5,22,14,81,19,44,3,6
Apr-17,Middleton Library,0,1,36,3,23,117,124,196,116,44,7,54
Apr-17,Moor Allerton Library,0,15,60,45,76,176,208,360,593,221,88,45
Apr-17,Morley Library,3,8,37,8,69,169,250,365,314,205,100,91
Apr-17,Oakwood Library,0,2,9,11,31,49,53,82,219,74,33,32
Apr-17,Otley Library,0,2,23,22,16,54,164,290,314,443,224,27
Apr-17,Pudsey Library,1,11,14,14,137,218,232,310,421,190,84,133
Apr-17,Rothwell Library,0,2,19,34,36,87,75,158,171,151,74,48
Apr-17,Seacroft,0,16,33,13,74,102,225,283,257,100,21,57
