IT Use,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017/18
Allerton Bywater,N/A,191,1325,1213,886,957,662,915,1150,810,164,Closed,Closed,Closed,Closed,Closed,Closed
Ardsley & Tingley,N/A,N/A,N/A,1163,2252,2403,1877,1535,1229,1427,1317,1375,1725,1727,1395,1293,1414
Armley,N/A,N/A,7752,30806,36419,37808,39797,41012,44811,43078,48877,50889,49952,42744,38610,32614,30255
Armley Heights,N/A,N/A,733,467,1779,1467,1672,1728,2274,1991,237,Closed,Closed,Closed,Closed,Closed,Closed
Beeston,612,5986,13905,19936,17442,14660,13357,16741,16302,15649,19055,21389,22617,22167,15832,14055,11972
Belle Isle,578,808,N/A,3077,3854,4508,5304,5056,4835,4553,1038,Closed,Closed,Closed,Closed,Closed,Closed
Boston Spa,24,121,729,1285,1487,1560,1454,1532,1594,1371,1568,1590,1486,856,1114,967,660
Bramley,6698,11380,17168,19548,18778,15870,16657,17592,18933,17394,20692,27016,27877,23764,17165,17031,8347
Broad Lane,N/A,184,1460,1641,1989,2241,2181,1844,1882,1778,689,Closed,Closed,Closed,Closed,Closed,Closed
Burley,1769,5227,4304,4965,8056,7688,8018,8410,7762,6919,7491,6172,6718,5744,3065,Closed,Closed
Calverley,146,551,2122,2315,2325,2886,3226,3168,3234,2647,2708,2246,2121,2216,1506,1583,1202
Central Library,33909,30110,138601,178173,164703,183372,178139,180199,195890,182841,184901,193883,196125,173028,136183,121762,114864
Chapel Allerton,4023,8276,10120,13740,16404,15502,15013,14821,13753,13737,14955,13979,14720,13429,11525,10261,9394
Chapeltown,1255,2339,4978,3394,3721,3772,3772,3134,3248,7476,13314,14498,14749,15349,16324,16159,16217
Compton Road,8669,16142,39131,45506,44436,43797,44500,46895,20118,51025,68915,69944,80088,71436,66768,57835,43047
Cottingley,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed
Cow Close,N/A,251,1045,1294,1601,1197,1245,1415,1469,1336,1561,361,Closed,Closed,Closed,Closed,Closed
Crossgates,1679,6406,17434,18087,24077,26317,27899,28436,28948,26627,27933,29135,31261,27561,20846,18403,16215
Dewsbury Road,319,440,2289,10255,14663,12742,10509,8503,8541,9644,10595,11780,14066,12994,8657,6993,11611
Drighlington,N/A,213,930,1039,1519,1631,1423,1411,1176,1113,1428,543,Closed,Closed,Closed,Closed,Closed
Farsley,158,4205,5128,5332,5152,5525,5245,5368,6025,4545,4573,4382,4624,3605,2702,2487,2387
Garforth,2600,8266,12511,21449,23074,19606,19628,13311,3753,28079,26556,22687,21436,16398,12200,10766,10664
Gildersome,N/A,59,1163,1113,1361,1697,1439,1156,1479,1300,1257,1029,1078,952,713,602,516
Guiseley,10,4940,8685,10386,14231,13048,12293,11160,10670,10153,9993,8774,8860,7601,6068,5395,4809
Halton,3704,4806,4927,6848,9122,10341,10584,10228,10116,10262,13398,13745,14532,13313,10490,9547,8408
Headingley,15130,23471,34675,42428,47889,50541,51020,52938,56411,52271,48211,46282,49339,43340,33467,31356,19515
Holbeck,144,739,3172,4337,3738,3689,3135,2856,2503,2236,692,Closed,Closed,Closed,Closed,Closed,Closed
Holt Park,1069,12307,11953,17521,23219,24515,18261,16751,15392,12027,16296,18538,18631,13424,10709,10893,9418
Horsforth,399,8725,18924,24593,25129,31124,30657,31060,30771,28061,27360,25920,25514,21462,18278,16168,15935
Hunslet,N/A,92,4212,5591,7323,8961,8471,8151,8397,7687,8086,8260,9797,8420,5827,4781,4447
