NAME,COMPUTER_SESSIONS,WIFI_USE,GATE_COUNT,FISCAL_YEAR,GIS_ID,CREATED_DATE,LAST_EDITED_DATE,OBJECTID,GLOBALID
Cleveland Park,20370,48143,238566,2019,LibraryPt_5,,2022/08/04 22:59:02+00,1,{7C942CD0-6B23-4115-98D9-3A732521BD6B}
Northwest One,35489,7661,94467,2019,LibraryPt_23,,2022/08/04 22:59:02+00,2,{E797399E-3601-423E-BF50-7566EF7D23F4}
"Martin Luther King, Jr. Memorial Library",,,,2019,LibraryPt_9,,2022/08/04 22:59:02+00,3,{50A741A9-EDC1-4C6A-B558-0709E6897DF9}
Georgetown,27578,24370,138461,2019,LibraryPt_25,,2022/08/04 22:59:02+00,4,{67FADF76-16CA-4DDE-8DE3-A81CC3947304}
Tenley-Friendship,39495,21634,213195,2019,LibraryPt_11,,2022/08/04 22:59:02+00,5,{35FBA4BF-224F-43F2-B4CB-B35A6D11B0CC}
Deanwood,23036,8841,94507,2019,LibraryPt_29,,2022/08/04 22:59:02+00,6,{8D919073-1060-4CB0-8BC9-A342AB20C3FE}
Shepherd Park (Juanita E. Thornton),33323,11045,111429,2019,LibraryPt_16,,2022/08/04 22:59:02+00,7,{1C9F5A87-955F-46FC-8F9C-EA79AFE88918}
Southeast,33843,17693,178996,2019,LibraryPt_14,,2022/08/04 22:59:02+00,8,{EC940F6D-2A8F-4DEF-B372-8541C3352832}
West End,54789,37684,231512,2019,LibraryPt_21,,2022/08/04 22:59:02+00,9,{9A7AA283-2960-4860-B426-721D75E72E49}
Library Express,23231,10462,107390,2019,,,2021/07/16 00:26:09+00,10,{E78E9A87-21C7-416D-BF0A-9EFF77A99EEC}
Benning (Dorothy I. Height),54995,25623,193479,2019,LibraryPt_2,,2022/08/04 22:59:02+00,11,{EADCCA39-28FD-4208-B5C8-6580E5C5C32A}
Shaw (Watha T. Daniel),67816,54681,255200,2019,LibraryPt_28,,2022/08/04 22:59:02+00,12,{6BD99CE2-21F8-4735-9E8A-186308261E5C}
Lamond-Riggs,30388,11036,107374,2019,LibraryPt_18,,2022/08/04 22:59:02+00,13,{1A098E4B-A9D6-4358-AFFA-5579E1FF5B66}
Southwest ,22973,7271,72314,2019,LibraryPt_15,,2022/08/04 22:59:02+00,14,{F8B03EB0-79A7-4006-87D0-EC8EDD856070}
Takoma Park,13576,6356,55838,2019,LibraryPt_17,,2022/08/04 22:59:02+00,15,{D3302ADF-B007-4A5D-B5C8-566C439AA725}
