Library name ,2018-01-01,2018-01-08,2018-01-15,2018-01-22,2018-01-29,2018-02-05,2018-02-12,2018-02-19,2018-02-26,2018-03-05,2018-03-12,2018-03-19,2018-03-26,2018-04-02,2018-04-09,2018-04-16,2018-04-23,2018-04-30,2018-05-07,2018-05-14,2018-05-21,2018-05-28,2018-06-04,2018-06-11,2018-06-18,2018-06-25,2018-07-02,2018-07-09,2018-07-16,2018-07-23,2018-07-30,2018-08-06,2018-08-13,2018-08-20,2018-08-27,2018-09-03,2018-09-10,2018-09-17,2018-09-24,2018-10-01,2018-10-08,2018-10-15,2018-10-22,2018-10-29,2018-11-05,2018-11-12,2018-11-19,2018-11-26,2018-12-03,2018-12-10,2018-12-17,2018-12-24,2018-12-31
Central Library,2636,2096,2097,2867,2437,2253,2669,2483,2057,2753,2650,2657,2238,2610,2786,2002,2599,2483,2124,2204,2507,2351,2575,2446,2258,2159,2388,2717,2693,3584,3470,3276,3431,3217,2929,2763,2439,2278,2351,2438,2321,2753,2866,2536,2484,2537,2395,2380,2193,2112,2399,1156,2464
Crownhill Library,698,1282,1282,0,1,7,893,522,456,741,695,632,690,663,613,717,580,640,675,496,555,681,684,634,591,525,565,636,971,1149,1185,1142,985,1023,800,802,734,695,644,584,681,689,852,749,614,719,668,732,572,645,666,152,683
Devonport Library,294,455,552,358,354,356,337,273,275,320,384,390,307,442,388,480,384,327,382,413,397,378,421,377,297,270,441,407,512,603,759,572,727,566,596,505,387,378,394,395,537,396,390,450,343,456,466,350,353,346,330,54,370
Efford Library,243,208,208,258,242,208,259,185,116,283,208,198,157,184,170,197,233,196,182,210,219,237,202,282,234,223,172,269,276,431,366,345,405,307,229,298,187,275,197,213,227,242,249,259,171,209,230,228,196,275,128,37,267
Estover Library,337,319,319,242,210,154,302,229,151,266,198,209,196,168,206,192,219,204,272,220,244,228,216,275,260,247,261,289,190,445,435,538,379,299,377,271,269,212,234,177,266,294,250,318,187,213,321,186,323,176,283,37,352
North Prospect Library,227,75,75,199,287,141,181,193,183,187,210,125,213,176,225,164,181,238,153,221,289,196,255,162,220,213,166,278,209,415,450,438,422,360,328,294,231,249,280,292,228,348,375,207,288,322,193,234,241,147,246,60,223
Peverell Library,651,590,427,673,728,626,812,664,431,705,765,604,577,712,857,578,871,699,515,657,731,688,862,610,738,621,649,717,763,1224,1263,1089,1082,1003,1038,921,812,680,655,726,821,690,755,737,648,697,638,667,592,697,786,70,633
Plympton Library,1837,1704,1480,1815,1612,1432,1981,1690,1162,1998,1590,1806,1529,1900,1749,1578,1982,1563,1482,1593,1622,1633,1604,1760,1655,1495,1680,1932,2181,2530,3161,2458,2604,2359,1944,1951,1610,1672,1532,1601,1764,1611,1836,1774,1729,1571,1589,1409,1456,1318,1493,384,1708
Plymstock Library,2098,1600,1729,2172,1696,1815,2225,1825,1531,2304,2017,1824,1687,1934,1795,1633,1972,1776,1941,1867,1817,2031,2153,2010,2075,1894,1837,2087,2353,3037,3529,2792,3221,2622,2388,2398,2114,2264,1961,2052,2060,2043,2343,1988,1898,2242,1994,1873,1794,1616,1815,370,1973
Southway Library,773,607,608,753,801,700,1011,804,487,810,641,583,706,696,751,700,854,659,577,647,666,709,776,749,724,626,603,892,930,1123,1365,1268,978,1014,900,1073,796,751,726,851,672,783,923,803,766,779,688,732,735,684,749,120,709
St Budeaux Library,463,363,362,422,408,441,615,526,333,488,418,529,268,534,422,322,494,399,524,468,413,438,415,500,436,354,344,672,688,626,801,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
West Park Library,155,155,156,174,192,144,118,170,113,164,131,141,112,173,231,99,177,170,95,88,145,154,161,156,92,156,159,154,199,211,311,496,492,405,423,390,322,359,309,264,442,372,345,308,306,331,305,291,277,268,269,57,325
