"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"LIB01","Library Visits - All Libraries","1009148.00 Number","Number","2011/2012","2011-04-01","2012-03-31","Annual"
"LIB01","Library Visits - All Libraries","1005595.00 Number","Number","2012/2013","2012-04-01","2013-03-31","Annual"
"LIB01","Library Visits - All Libraries","1043285.00 Number","Number","2013/2014","2013-04-01","2014-03-31","Annual"
"LIB01","Library Visits - All Libraries","79285.00 Number","Number","2014/2015_Apr","2014-04-01","2014-04-30","Annual"
"LIB01","Library Visits - All Libraries","210367.00 Number","Number","2014/2015_Q1","2014-04-01","2014-06-30","Annual"
"LIB01","Library Visits - All Libraries","799083.00 Number","Number","2014/2015","2014-04-01","2015-03-31","Annual"
"LIB01","Library Visits - All Libraries","80749.00 Number","Number","2014/2015_May","2014-05-01","2014-05-31","Annual"
"LIB01","Library Visits - All Libraries","50333.00 Number","Number","2014/2015_Jun","2014-06-01","2014-06-30","Annual"
"LIB01","Library Visits - All Libraries","184839.00 Number","Number","2014/2015_Q2","2014-07-01","2014-09-30","Annual"
"LIB01","Library Visits - All Libraries","65765.00 Number","Number","2014/2015_Jul","2014-07-01","2014-07-31","Annual"
"LIB01","Library Visits - All Libraries","61613.00 Number","Number","2014/2015_Aug","2014-08-01","2014-08-31","Annual"
"LIB01","Library Visits - All Libraries","57461.00 Number","Number","2014/2015_Sep","2014-09-01","2014-09-30","Annual"
"LIB01","Library Visits - All Libraries","145449.00 Number","Number","2014/2015_Q3","2014-10-01","2014-12-31","Annual"
"LIB01","Library Visits - All Libraries","56479.00 Number","Number","2014/2015_Oct","2014-10-01","2014-10-31","Annual"
"LIB01","Library Visits - All Libraries","51650.00 Number","Number","2014/2015_Nov","2014-11-01","2014-11-30","Annual"
"LIB01","Library Visits - All Libraries","37320.00 Number","Number","2014/2015_Dec","2014-12-01","2014-12-31","Annual"
"LIB01","Library Visits - All Libraries","87197.00 Number","Number","2014/2015_Jan","2015-01-01","2015-01-31","Annual"
"LIB01","Library Visits - All Libraries","258428.00 Number","Number","2014/2015_Q4","2015-01-01","2015-03-31","Annual"
"LIB01","Library Visits - All Libraries","80377.00 Number","Number","2014/2015_Feb","2015-02-01","2015-02-28","Annual"
"LIB01","Library Visits - All Libraries","90854.00 Number","Number","2014/2015_Mar","2015-03-01","2015-03-31","Annual"
"LIB01","Library Visits - All Libraries","997606.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Annual"
"LIB01","Library Visits - All Libraries","82346.00 Number","Number","2015/2016_Apr","2015-04-01","2015-04-30","Annual"
"LIB01","Library Visits - All Libraries","247837.00 Number","Number","2015/2016_Q1","2015-04-01","2015-06-30","Annual"
"LIB01","Library Visits - All Libraries","81528.00 Number","Number","2015/2016_May","2015-05-01","2015-05-31","Annual"
"LIB01","Library Visits - All Libraries","83963.00 Number","Number","2015/2016_Jun","2015-06-01","2015-06-30","Annual"
"LIB01","Library Visits - All Libraries","274380.00 Number","Number","2015/2016_Q2","2015-07-01","2015-09-30","Annual"
"LIB01","Library Visits - All Libraries","96661.00 Number","Number","2015/2016_Jul","2015-07-01","2015-07-31","Annual"
"LIB01","Library Visits - All Libraries","91136.00 Number","Number","2015/2016_Aug","2015-08-01","2015-08-31","Annual"
"LIB01","Library Visits - All Libraries","86583.00 Number","Number","2015/2016_Sep","2015-09-01","2015-09-30","Annual"
"LIB01","Library Visits - All Libraries","228483.00 Number","Number","2015/2016_Q3","2015-10-01","2015-12-31","Annual"
"LIB01","Library Visits - All Libraries","88906.00 Number","Number","2015/2016_Oct","2015-10-01","2015-10-31","Annual"
"LIB01","Library Visits - All Libraries","78734.00 Number","Number","2015/2016_Nov","2015-11-01","2015-11-30","Annual"
"LIB01","Library Visits - All Libraries","60843.00 Number","Number","2015/2016_Dec","2015-12-01","2015-12-31","Annual"
"LIB01","Library Visits - All Libraries","80107.00 Number","Number","2015/2016_Jan","2016-01-01","2016-01-31","Annual"
"LIB01","Library Visits - All Libraries","246906.00 Number","Number","2015/2016_Q4","2016-01-01","2016-03-31","Annual"
"LIB01","Library Visits - All Libraries","84228.00 Number","Number","2015/2016_Feb","2016-02-01","2016-02-29","Annual"
"LIB01","Library Visits - All Libraries","82571.00 Number","Number","2015/2016_Mar","2016-03-01","2016-03-31","Annual"
"LIB01","Library Visits - All Libraries","1025480.00 Number","Number","2016/2017","2016-04-01","2017-03-31","Annual"
"LIB01","Library Visits - All Libraries","259304.00 Number","Number","2016/2017_Q1","2016-04-01","2016-06-30","Annual"
"LIB01","Library Visits - All Libraries","86011.00 Number","Number","2016/2017_Apr","2016-04-01","2016-04-30","Annual"
"LIB01","Library Visits - All Libraries","80379.00 Number","Number","2016/2017_May","2016-05-01","2016-05-31","Annual"
"LIB01","Library Visits - All Libraries","92914.00 Number","Number","2016/2017_Jun","2016-06-01","2016-06-30","Annual"
"LIB01","Library Visits - All Libraries","305296.00 Number","Number","2016/2017_Q2","2016-07-01","2016-09-30","Annual"
"LIB01","Library Visits - All Libraries","101113.00 Number","Number","2016/2017_Jul","2016-07-01","2016-07-31","Annual"
"LIB01","Library Visits - All Libraries","113880.00 Number","Number","2016/2017_Aug","2016-08-01","2016-08-31","Annual"
"LIB01","Library Visits - All Libraries","90303.00 Number","Number","2016/2017_Sep","2016-09-01","2016-09-30","Annual"
"LIB01","Library Visits - All Libraries","223221.00 Number","Number","2016/2017_Q3","2016-10-01","2016-12-31","Annual"
"LIB01","Library Visits - All Libraries","84638.00 Number","Number","2016/2017_Oct","2016-10-01","2016-10-31","Annual"
"LIB01","Library Visits - All Libraries","74999.00 Number","Number","2016/2017_Nov","2016-11-01","2016-11-30","Annual"
"LIB01","Library Visits - All Libraries","63584.00 Number","Number","2016/2017_Dec","2016-12-01","2016-12-31","Annual"
"LIB01","Library Visits - All Libraries","77741.00 Number","Number","2016/2017_Jan","2017-01-01","2017-01-31","Annual"
"LIB01","Library Visits - All Libraries","237659.00 Number","Number","2016/2017_Q4","2017-01-01","2017-03-31","Annual"
"LIB01","Library Visits - All Libraries","74449.00 Number","Number","2016/2017_Feb","2017-02-01","2017-02-28","Annual"
"LIB01","Library Visits - All Libraries","85469.00 Number","Number","2016/2017_Mar","2017-03-01","2017-03-31","Annual"
"LIB01","Library Visits - All Libraries","78601.00 Number","Number","2017/2018_Apr","2017-04-01","2017-04-30","Annual"
